
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 23209.2 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 24256.8 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 25309.8 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 26368.2 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 27426.6 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 27421.2 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 8434.8 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 9487.8 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 17928 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 18986.4 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 20044.8 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 21103.2 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 22150.8 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 23209.2 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 24256.8 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 25309.8 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 26368.2 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 27426.6 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 27421.2 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 8434.8 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 9487.8 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 17928 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 8434.8 kbps	
  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 9487.8 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 17928 kbps	
  ThroughputTx: 8440.2 kbps	  ThroughputTx: 1058.4 kbps	  ThroughputTx: 8434.8 kbps	  ThroughputTx: 1053 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 0 kbps	  ThroughputTx: 18986.4 kbps	
